district,Year,Rape,Kidnapping_Abduction,Dowry_Deaths,Assault_to_outrage_her_modesty,Insult_to_modesty_of_Women,Cruelty_by_Husband_or_his_Relatives,Importation_Girls,total_crime
Jaunpur,2013,53,131,60,75,0,77,0,396
Jhansi,2013,40,74,24,72,1,65,0,276
Kannauj,2013,16,84,26,40,0,59,0,225
Kanpur Dehat,2013,29,74,32,45,0,67,0,247
Kanpur Nagar,2013,41,248,56,110,0,239,0,694
Kasganj,2013,17,89,24,43,0,27,0,200
Kaushambi,2013,27,56,22,108,0,67,0,280
Khiri,2013,49,189,57,85,0,152,0,532
Kushi Nagar,2013,33,143,29,66,0,48,0,319
Lalitpur,2013,10,26,11,50,0,18,0,115
Lucknow,2013,76,375,60,360,1,920,0,1792
Maharajganj,2013,28,116,23,40,0,58,0,265
Mahoba,2013,30,45,16,61,0,26,0,178
Mainpuri,2013,20,142,38,92,0,94,0,386
Mathura,2013,59,138,32,99,0,196,0,524
Mau,2013,26,94,11,53,1,94,0,279
Meerut,2013,109,282,42,277,0,209,0,919
Mirzapur,2013,5,8,19,5,0,30,0,67
Moradabad,2013,69,173,27,156,1,299,0,725
Muzaffarnagar,2013,49,214,25,125,0,270,0,683
Pilibhit,2013,30,91,35,67,0,125,0,348
Pratapgarh,2013,66,157,30,151,0,39,0,443
Raibareilly,2013,43,104,23,66,0,72,0,308
Rampur,2013,26,93,19,46,0,119,0,303
Saharanpur,2013,34,137,34,90,0,198,0,493
Sambhal,2013,42,112,30,94,0,88,0,366
Sant Kabirnagar,2013,23,60,5,17,0,8,0,113
Shahjahanpur,2013,36,116,43,104,0,142,0,441
Shamli,2013,34,87,11,66,0,52,0,250
Shrawasti,2013,21,50,18,53,0,0,0,142
Sidharthnagar,2013,17,59,8,26,0,33,0,143
Sitapur,2013,95,256,63,211,0,130,0,755
Sonbhadra,2013,32,17,13,22,0,12,0,96
St.Ravidasnagar,2013,10,18,13,15,0,19,0,75
Sultanpur,2013,29,107,15,87,0,111,0,349
Unnao,2013,41,173,44,119,0,190,0,567
Varanasi,2013,57,208,36,207,3,347,0,858
Agra,2014,77,347,87,281,0,389,0,1181
Aligarh,2014,112,404,69,307,0,455,0,1347
Allahabad,2014,109,268,53,309,4,355,0,1098
Ambedkar Nagar,2014,20,58,11,16,0,41,0,146
Amethi,2014,27,104,15,78,0,47,0,271
Amroha,2014,35,107,23,81,0,224,0,470
Auraiya,2014,21,91,34,73,0,151,0,370
Azamgarh,2014,42,144,34,102,0,158,0,480
Badaun,2014,71,153,56,148,0,62,0,490
Baghpat,2014,35,86,14,96,0,90,0,321
Bahraich,2014,68,178,51,45,0,0,0,342
Ballia,2014,21,89,24,71,2,95,0,302
Balrampur,2014,19,60,13,28,0,2,0,122
Banda,2014,71,109,39,185,0,96,0,500
Barabanki,2014,35,63,25,51,0,36,0,210
Bareilly,2014,76,316,74,252,0,139,0,857
Basti,2014,15,52,15,27,0,40,0,149
Bijnor,2014,80,164,26,175,0,0,0,445
Bulandshahar,2014,82,228,55,239,1,0,0,605
Chandoli,2014,26,68,20,92,0,113,0,319
Chitrakoot,2014,23,34,23,56,0,12,0,148
Deoria,2014,35,114,31,68,0,6,0,254
Etah,2014,54,143,42,114,2,120,0,475
Etawah,2014,30,122,31,80,0,104,0,367
Faizabad,2014,37,117,13,91,0,8,0,266
